Year,Domestic credit to private sector (% of GDP)
1970,105.969890380202
1971,117.327586371128
1972,126.57063036777
1973,125.366842623993
1974,119.954549046701
1975,123.24323278834
1976,123.877453731257
1977,121.843474745811
1978,121.110402009136
1979,122.549028727429
1980,124.506445159423
1981,127.487155696374
1982,132.560903355012
1983,136.967063460906
1984,139.731267494954
1985,143.293694125624
1986,148.983097386027
1987,164.598028788581
1988,173.485377848245
1989,181.906930654757
1990,186.987678819914
1991,186.656842054711
1992,190.373634464532
1993,193.807386276015
1994,195.586907517692
1995,193.561899759113
1996,193.503610505672
1997,206.582688401006
1998,214.583817181593
1999,217.760887337074
2000,208.815005555476
2001,180.201537127819
2002,177.918035565601
2003,177.536325650048
2004,170.771866840423
2005,168.903408651315
2006,166.642350414877
2007,160.167886282809
2008,158.4960738792
2009,165.595839805519
2010,158.614077960859
2011,157.840353049328
2012,158.243663465905
2013,161.520194786481
2014,162.521149320273
2015,161.780305754878
2016,162.351703251828
2017,167.627763423635
2018,167.347148492329
2019,175.363785752131
2020,193.486816243251
2021,193.735307328609
2022,194.945794260279
2023,193.543164820379
