Year,GDP (current US$)
1980,1129377244854.04
1981,1245221410764.15
1982,1158731426905.85
1983,1270859919742.9
1984,1345824500836.76
1985,1427019759717.41
1986,2120083812109.91
1987,2580748422781.09
1988,3125724434400.79
1989,3109455047823.93
1990,3185904656663.85
1991,3648065760648.88
1992,3980702922117.66
1993,4536940479038.25
1994,4998797547740.97
1995,5545563663889.7
1996,4923391533851.63
1997,4492448605638.94
1998,4098362709531.24
1999,4635982224063.88
2000,4968359075956.59
2001,4374711694090.87
2002,4182846045873.61
2003,4519561645253.53
2004,4893116005656.56
2005,4831467035389.8
2006,4601663122649.92
2007,4579750920354.81
2008,5106679115127.3
2009,5289493117993.89
2010,5759071769013.11
2011,6233147172341.35
2012,6272362996105.03
2013,5212328181166.18
2014,4896994405353.29
2015,4444930651964.18
2016,5003677627544.24
2017,4930837369151.42
2018,5040880939324.86
2019,5117993853016.51
2020,5055587093501.59
2021,5034620784584.98
2022,4256410760723.75
2023,4212945159781.4
2021,5034620784584.98
2022,4256410760723.75
2023,4212945159781.4
2021,5034620784584.98
2022,4256410760723.75
2023,4212945159781.4
