period,value_in_millions
1970/01,43186
1970/02,43854
1970/03,44760
1970/04,44997
1970/05,45612
1970/06,46452
1970/07,46999
1970/08,47734
1970/09,47783
1970/10,48465
1970/11,48994
1970/12,49879
1971/01,50246
1971/02,51171
1971/03,51831
1971/04,52187
1971/05,53334
1971/06,53881
1971/07,54893
1971/08,56085
1971/09,56076
1971/10,56504
1971/11,56728
1971/12,57746
1972/01,58384
1972/02,59079
1972/03,60291
1972/04,61523
1972/05,61816
1972/06,64363
1972/07,64767
1972/08,65875
1972/09,67273
1972/10,68577
1972/11,69549
1972/12,71475
1973/01,74299
1973/02,76682
1973/03,80102
1973/04,84686
1973/05,85976
1973/06,87309
1973/07,91047
1973/08,92196
1973/09,94851
1973/10,97527
1973/11,99101
1973/12,97500
1974/01,101745
1974/02,103562
1974/03,105308
1974/04,106251
1974/05,109056
1974/06,111694
1974/07,113954
1974/08,114220
1974/09,115365
1974/10,115680
1974/11,117481
1974/12,114831
1975/01,120503
1975/02,120265
1975/03,122657
1975/04,123796
1975/05,123982
1975/06,126315
1975/07,126581
1975/08,128133
1975/09,128995
1975/10,129427
1975/11,129202
1975/12,125026
1976/01,126541
1976/02,127336
1976/03,126892
1976/04,128157
1976/05,131000
1976/06,129837
1976/07,131481
1976/08,132073
1976/09,132993
1976/10,133841
1976/11,135300
1976/12,135254
1977/01,136469
1977/02,139496
1977/03,138139
1977/04,144070
1977/05,138199
1977/06,142054
1977/07,145050
1977/08,144434
1977/09,144597
1977/10,145309
1977/11,140288
1977/12,144783
1978/01,145689
1978/02,148270
1978/03,150880
1978/04,154768
1978/05,152614
1978/06,155272
1978/07,154553
1978/08,157713
1978/09,159918
1978/10,161045
1978/11,161755
1978/12,165177
1979/01,167547
1979/02,165623
1979/03,166564
1979/04,167390
1979/05,169505
1979/06,169920
1979/07,170371
1979/08,172554
1979/09,172984
1979/10,174414
1979/11,174480
1979/12,175474
1980/01,178905
1980/02,179186
1980/03,185285
1980/04,191734
1980/05,193295
1980/06,194480
1980/07,192875
1980/08,191784
1980/09,192943
1980/10,191456
1980/11,194659
1980/12,187861
1981/01,189728
1981/02,189983
1981/03,192420
1981/04,187831
1981/05,187881
1981/06,189260
1981/07,190331
1981/08,191131
1981/09,191783
1981/10,192674
1981/11,193383
1981/12,195339
1982/01,194560
1982/02,195908
1982/03,197433
1982/04,200775
1982/05,202063
1982/06,203177
1982/07,204394
1982/08,206424
1982/09,206540
1982/10,208756
1982/11,209330
1982/12,209838
1983/01,208944
1983/02,211958
1983/03,213965
1983/04,212267
1983/05,213993
1983/06,214974
1983/07,214403
1983/08,217205
1983/09,216462
1983/10,219902
1983/11,217414
1983/12,220446
1984/01,219184
1984/02,220713
1984/03,220799
1984/04,222867
1984/05,222569
1984/06,223279
1984/07,226226
1984/08,226341
1984/09,229800
1984/10,228754
1984/11,235887
1984/12,232206
1985/01,237245
1985/02,235274
1985/03,237744
1985/04,237847
1985/05,237680
1985/06,238515
1985/07,241337
1985/08,241724
1985/09,243136
1985/10,243676
1985/11,246890
1985/12,249460
1986/01,252759
1986/02,251135
1986/03,251320
1986/04,252665
1986/05,255111
1986/06,257135
1986/07,256114
1986/08,256838
1986/09,258573
1986/10,260170
1986/11,273367
1986/12,272976
1987/01,275952
1987/02,279508
1987/03,281133
1987/04,281709
1987/05,285991
1987/06,289435
1987/07,291374
1987/08,294467
1987/09,296883
1987/10,299970
1987/11,301735
1987/12,302905
1988/01,304461
1988/02,308631
1988/03,313443
1988/04,317401
1988/05,321191
1988/06,319944
1988/07,324188
1988/08,325337
1988/09,329266
1988/10,331390
1988/11,333350
1988/12,331790
1989/01,338585
1989/02,344062
1989/03,347428
1989/04,351806
1989/05,354815
1989/06,356157
1989/07,358373
1989/08,363805
1989/09,365193
1989/10,369361
1989/11,372055
1989/12,374364
1990/01,381841
1990/02,383709
1990/03,385195
1990/04,398875
1990/05,389566
1990/06,390073
1990/07,393745
1990/08,395337
1990/09,397656
1990/10,394198
1990/11,396300
1990/12,399591
1991/01,400920
1991/02,393874
1991/03,401546
1991/04,400967
1991/05,398094
1991/06,403719
1991/07,401969
1991/08,400999
1991/09,400812
1991/10,396359
1991/11,389613
1991/12,388708
1992/01,387828
1992/02,386387
1992/03,385848
1992/04,385547
1992/05,385259
1992/06,388090
1992/07,389477
1992/08,391536
1992/09,391935
1992/10,390441
1992/11,393390
1992/12,395129
1993/01,392769
1993/02,396728
1993/03,396467
1993/04,398461
1993/05,402571
1993/06,401753
1993/07,404050
1993/08,404749
1993/09,404591
1993/10,408819
1993/11,407744
1993/12,411107
1994/01,410840
1994/02,413138
1994/03,414991
1994/04,416486
1994/05,419783
1994/06,417403
1994/07,422918
1994/08,425010
1994/09,430484
1994/10,427556
1994/11,424661
1994/12,429344
1995/01,430515
1995/02,428693
1995/03,431634
1995/04,434622
1995/05,435936
1995/06,436125
1995/07,440953
1995/08,443822
1995/09,449708
1995/10,453321
1995/11,456356
1995/12,457660
1996/01,463982
1996/02,467192
1996/03,468553
1996/04,472585
1996/05,473366
1996/06,477633
1996/07,478711
1996/08,480621
1996/09,484835
1996/10,485630
1996/11,489162
1996/12,493996
1997/01,500300
1997/02,498828
1997/03,502959
1997/04,503379
1997/05,505244
1997/06,512159
1997/07,513233
1997/08,517299
1997/09,519715
1997/10,520485
1997/11,534525
1997/12,546042
1998/01,547381
1998/02,549156
1998/03,547238
1998/04,548932
1998/05,552542
1998/06,559299
1998/07,556022
1998/08,563832
1998/09,566928
1998/10,571503
1998/11,571209
1998/12,571195
1999/01,569108
1999/02,576306
1999/03,580379
1999/04,585453
1999/05,593473
1999/06,594240
1999/07,600052
1999/08,605146
1999/09,608417
1999/10,610909
1999/11,613369
1999/12,656116
2000/01,701105
2000/02,631330
2000/03,642840
2000/04,651749
2000/05,636720
2000/06,631380
2000/07,635246
2000/08,632750
2000/09,631884
2000/10,643199
2000/11,647869
2000/12,653137
2001/01,663493
2001/02,653239
2001/03,649631
2001/04,659317
2001/05,667550
2001/06,678747
2001/07,686611
2001/08,689447
2001/09,720277
2001/10,734764
2001/11,746757
2001/12,767525
2002/01,820652
2002/02,833554
2002/03,861672
2002/04,898205
2002/05,864595
2002/06,864653
2002/07,860359
2002/08,868637
2002/09,872093
2002/10,878354
2002/11,907730
2002/12,921708
2003/01,932356
2003/02,938391
2003/03,956600
2003/04,1002669
2003/05,1009259
2003/06,1039293
2003/07,1037183
2003/08,1045683
2003/09,1051375
2003/10,1055579
2003/11,1057546
2003/12,1047084
2004/01,1060330
2004/02,1089202
2004/03,1072403
2004/04,1071179
2004/05,1084350
2004/06,1084903
2004/07,1086777
2004/08,1093053
2004/09,1098693
2004/10,1095684
2004/11,1108108
2004/12,1093088
2005/01,1102502
2005/02,1101041
2005/03,1095913
2005/04,1105610
2005/05,1109454
2005/06,1103297
2005/07,1103158
2005/08,1104751
2005/09,1116236
2005/10,1123349
2005/11,1124991
2005/12,1105052
2006/01,1118856
2006/02,1120773
2006/03,1087666
2006/04,1027112
2006/05,939289
2006/06,923062
2006/07,907493
2006/08,880937
2006/09,879059
2006/10,882285
2006/11,874498
2006/12,885082
2007/01,883229
2007/02,883720
2007/03,881231
2007/04,900968
2007/05,885026
2007/06,883684
2007/07,886791
2007/08,886487
2007/09,885455
2007/10,885641
2007/11,884246
2007/12,888264
2008/01,882909
2008/02,885946
2008/03,883362
2008/04,874855
2008/05,875894
2008/06,886167
2008/07,880264
2008/08,883721
2008/09,893583
2008/10,896736
2008/11,900938
2008/12,904395
2009/01,918311
2009/02,946156
2009/03,947597
2009/04,947060
2009/05,944736
2009/06,940450
2009/07,931986
2009/08,937254
2009/09,933006
2009/10,933174
2009/11,932784
2009/12,952044
2010/01,965200
2010/02,971634
2010/03,973034
2010/04,975136
2010/05,979803
2010/06,971063
2010/07,985812
2010/08,987181
2010/09,984512
2010/10,989019
2010/11,1000218
2010/12,1020995
2011/01,1022006
2011/02,1031110
2011/03,1143867
2011/04,1209762
2011/05,1140612
2011/06,1131371
2011/07,1126824
2011/08,1142635
2011/09,1146161
2011/10,1152475
2011/11,1191915
2011/12,1162211
2012/01,1180116
2012/02,1152919
2012/03,1147125
2012/04,1206224
2012/05,1168758
2012/06,1193837
2012/07,1217259
2012/08,1215467
2012/09,1247138
2012/10,1273420
2012/11,1249534
2012/12,1306098
2013/01,1313857
2013/02,1328857
2013/03,1378086
2013/04,1484250
2013/05,1539993
2013/06,1618362
2013/07,1672113
2013/08,1725110
2013/09,1820433
2013/10,1855625
2013/11,1903888
2013/12,1924834
2014/01,2002103
2014/02,2068026
2014/03,2134622
2014/04,2198943
2014/05,2241274
2014/06,2304026
2014/07,2381524
2014/08,2424034
2014/09,2460944
2014/10,2542177
2014/11,2602956
2014/12,2673657
2015/01,2755179
2015/02,2821857
2015/03,2882890
2015/04,2967126
2015/05,3037364
2015/06,3094551
2015/07,3163216
2015/08,3228838
2015/09,3325421
2015/10,3374409
2015/11,3449749
2015/12,3473889
2016/01,3553971
2016/02,3630534
2016/03,3699934
2016/04,3758934
2016/05,3804374
2016/06,3889399
2016/07,3953036
2016/08,4006466
2016/09,4074616
2016/10,4123959
2016/11,4189314
2016/12,4283327
2017/01,4355893
2017/02,4398012
2017/03,4447062
2017/04,4506979
2017/05,4540759
2017/06,4560527
2017/07,4579065
2017/08,4653628
2017/09,4702026
2017/10,4718219
2017/11,4735148
2017/12,4764711
2018/01,4780858
2018/02,4808293
2018/03,4851534
2018/04,4869371
2018/05,4906406
2018/06,4905130
2018/07,4909042
2018/08,4965567
2018/09,4967414
2018/10,4986915
2018/11,5019129
2018/12,4997215
2019/01,5015210
2019/02,5026079
2019/03,5038973
2019/04,5029374
2019/05,5080951
2019/06,5102351
2019/07,5094866
2019/08,5093809
2019/09,5109797
2019/10,5139545
2019/11,5183849
2019/12,5165620
2020/01,5168384
2020/02,5202668
2020/03,5174466
2020/04,5145034
2020/05,5271503
2020/06,5407328
2020/07,5600015
2020/08,5671783
2020/09,5836612
2020/10,5983000
2020/11,6047199
2020/12,6130275
2021/01,6155340
2021/02,6212761
2021/03,6237851
2021/04,6384534
2021/05,6440805
2021/06,6431828
2021/07,6465451
2021/08,6512543
2021/09,6522928
2021/10,6593907
2021/11,6626647
2021/12,6668125
2022/01,6677201
2022/02,6673066
2022/03,6711147
2022/04,6784533
2022/05,6720896
2022/06,6676344
2022/07,6650855
2022/08,6539613
2022/09,6318553
2022/10,6160939
2022/11,6219657
2022/12,6287533
2023/01,6425928
2023/02,6548347
2023/03,6623369
2023/04,6648898
2023/05,6632784
2023/06,6605008
2023/07,6569924
2023/08,6617612
2023/09,6686330
2023/10,6738528
2023/11,6787155
2023/12,6802773
2024/01,6730076
2024/02,6685723
2024/03,6705502
2024/04,6766164
2024/05,6679732
2024/06,6642641
2024/07,6646845
2024/08,6660226
2024/09,6693222
2024/10,6735653
